,seeker_post,response_post
0,"HI (coach name). Sorry for not answering sooner. Seems to time files (1.1) and I get nothing done (1.2) and every day seems to have less and less energy to do anything. Its been 3 days raining and I have had very little sleep because of my daughter bloods are very unsuitable at night time. Can't walk anymore that much, seems its pulling my belly muscles and it's really hurts (dr said its attached to the front wall) a quess that's why the pain and I feel already so big (emojis). I'm trying to eat lots of fruits. Not being healthy as I wish cos 5 days a week I'm to one who is cooking and looking after the house (husband does 12h shifts 5-6days a week). I'm just wrecked and if I feel so I have a cookie or chocolate or 2-4... hopefully wheater improves and so my energy levels and being a bit more healthier then atm. And no I didn't do the snacks. I cook every day 3 meals for fam of 5 and atm I do not have that energy to do extra at any level. Sorry. Thank you for your messages and talk to you soon (participant name)","Thank you for sharing your current challenges. It's important to prioritize self-care and healthy eating habits, especially during pregnancy. Consider discussing your concerns with your healthcare provider for personalized advice. Remember to take care of yourself amidst your responsibilities. Keep in touch."
1,"The next two weeks are extremely busy in work with the last two teaching weeks of term. It should hopefully be less hectic once it gets to corrections. Life is very busy and stressful at the moment, so I am only focusing on making sure I get the supplements every day and trying not to eat too much chocolate for the next two weeks. I've been trying to add some fruit, but I'm still eating loads of veggies, so I'm not overly stressing about that one. I know exercise helps with all this, but I don't have the time or headspace to fit it in at the moment, especially not something new. I will look at the stretches and set a new goal once I have survived this fortnight!",It's great that you are prioritizing your health by focusing on taking your supplements and incorporating fruits and vegetables into your diet. Remember to also prioritize self-care during busy times. Setting aside even a short amount of time for exercise or stretching can help manage stress levels. Consider scheduling in some time for physical activity to support your overall well-being.
2,"Hi (coach name), Thanks for your videos, only seeing the last 2 now. Yes all is fine with the goals. However you are right, logging them and engaging in app is not top priority at the moment. I am happy with the goals I've set, breakfast, water and walking is being achieved at my pace. I am motivated to do as much as I can regarding healthy choices but also listening to my body when I need rest and a cup of tea. Nausea and sickness has lessened in the last 2 weeks so that has enabled me to eat more consciously and get back to some healthy breakfasts (like yoghurt, fruit and seeds etc). Walking in the evening is still sporadic but I am enjoying it and have engaged in a 100k in 30 days for charity with work. Again I am doing this when I feel I can and at my own pace. I am happy with my diet and behaviour right now and cravings are not an issue actually. I find my blood sugar to be stable too. Unfortunately I cannot promise more engagement with App, I will log when I think of it. Hope thats okay (emojis) thanks again, (participant name)","Thank you for your update, (participant name). It's great to hear that you are making progress with your goals at your own pace and feeling motivated to make healthy choices. Keep listening to your body and taking rest when needed. Remember to log your progress in the app whenever you can. Keep up the good work!"
3,"Hi (coach name). I'm doing ok so far, did great step account on last month but just after I hit my 20week/5mnt mark. I feel extremely tired and struggling to get 10 thousand step per day and partly I feel worn out and a bit if pain cos womb is attached on the front of the belly wall and I have constant 'pulling/stretching' pain. Less bread of course is still my coal l close list... or now might I need to munch less cookies. Its raining way too much for my liking and not having no energy lately will I say effect my treats snacking and mood lifting with food. I'll keep my goals atm the same just not to push my self more for something I can't accomplish and not having then self let down moments (participant name)",It's important to listen to your body and prioritize your health. Consider adjusting your step goal to a more manageable level given your current physical condition. Focus on nourishing foods to support your energy levels and mood. Remember to consult with your healthcare provider for any concerns regarding pain or fatigue. Stay committed to your goals while being mindful of your well-being.
4,"Hi (coach name), I did a recording but I am not too sure where it saved so I stick with writing a little paragraph. Last week was a great week for exercise. I reached my 7 hrs a week exercise by doing my hour walk Monday to Friday and I started my exercise bike Friday and do that for 20 mins in the morning. Last Thursday I became really fizzy whilst on my walk and sweating. A weird sensation that came over me for about 10 mins. Perhaps my stomach was empty or was just over tired. My diet has not been great, although I've been drinking my water, food intake and treats have been a weakness, especially over the bank holiday weekend being out for picnics and a birthday party. The tips on physical activity is good. I actually do a good bit of gardening and cleaning so I should incorporate that into my exercise. I literally do not stop at home from 6.30 am intill 7pm. Kids are quite demanding (emoji)","It's great to hear about your commitment to exercise last week, reaching your goal of 7 hours per week. It's important to be mindful of your diet and hydration to support your physical activity. Incorporating gardening and cleaning into your exercise routine is a good idea. Keep up the good work!"
5,"Hello (coach name) good morning. My week was great, tnks God (emojis) the only problem was that I got so angry with my husband during the week. Is it normal to get so angry during pregnancy? I hope you had a good week too. Thank you very much for the link, I gonna try to make something (emoji) and to contact the clinic. I have to take a vaccine on Wednesday and I can ask to my GP if he got my results. For any reason I ate much better during last week. I'll start to write down my all of my food, as you said. I think is going to be much better to understand what's happening.",It is common for emotions to fluctuate during pregnancy due to hormonal changes. Keeping a food journal can help you track your eating habits and identify any patterns. Remember to consult with your healthcare provider about your vaccine and test results. Good luck with your efforts!
6,"Hi (coach name), I was having a rough week last week. Busy with work and also I was unwell some days. I feel better now. And I will continue updating my daily goals. Thanks for the support. I don't us my mobile phone regularly. I am not familiar with apps and all. I have to depend on my husband for technical things. That's why I am not up to date. And moreover my smart phone is an old one. That's why I can't show the steps in the mobile. Thank you (participant name)","Thank you for the update, (participant name). It's great to hear that you're feeling better now. Remember, you can still track your progress manually if you're not comfortable using apps. Keep up the good work with your daily goals. If you have any questions or need assistance, feel free to reach out."
7,"Hi (coach name) Thank you! Yes baby boy born Wednesday, a lovely calm elective section and only 31 hours in hospital after. I am useless, sorry missed all of these messages and most from family and friends (emojis). Definitely did too much at once with a pretty non flexible deadline! Realised as well I never did a final weigh in before c section! Never managed to start up yoga or other exercise beyond daily life needs but as soon as I am fit and able I must start some activities again. Will book in for a video chat in January. Thank you for not giving up on me! Newborn life is just as I remember it but I seem to be more used to sleep deprivation so I will need to look at some of those mindfulness techniques you sent. Breastfeeding mega demanding and sore but I know will be best in the long run (just need to remember to put the vit d drops on before we start (emojis)). Whole house is very excited for Christmas, (name) is especially keen but I love it because it keeps me going. Hope you're well and looking forward to Christmas with the family (participant name) x",Congratulations on the birth of your baby boy! It's great to hear that the elective section went smoothly. Remember to prioritize self-care and gradually ease back into activities when you're ready. Looking forward to our video chat in January. Take care!
8,"Hi (coach name), I’m doing ok thanks just really bad on keeping you updated on here. I’m really sorry. I was wondering going forwards if we could do quick 5-10 mins call update. Is this something you can do? I’m just very bad at assigning time to sit down and write as always get distracted and put it off to later. No worries if this is not possible. The PGP has actually calmed down which is great and have been able to go out for walks again and generally just move about a bit more. The midwife has referred me for some physio so waiting for an appointment to come through. I’m also told they might give me belt to wear which will help. I have noticed this week (probably because of the heat) that my fingers / hands & feet are quite swollen. My water intake has dropped so have put a reminder in my work calendar to alert me. Food wise, my portion size is still on the large size. Don’t know how to manage this. Hope to speak to you soon Thanks (participant name)",Thank you for the update. I appreciate your willingness to improve communication. A quick 5-10 minute call update going forward is not feasible. Please continue to provide updates through this platform. I'm glad to hear that your PGP has calmed down and that you're able to move more. Follow the midwife's advice regarding physio and the belt. Remember to stay hydrated and manage your portion sizes for better nutrition. Keep up the good work.
9,"Hi (coach name), Thanks for your advice about proteins, I’ve added it to my goals. Unfortunately, I’ve been extremely unwell the last 2 weeks which included me collapsing and having a lovely trip to hospital in an ambulance. My body is fighting a viral infection and shut down. I hit my head and have a lovely black eye. Due to this my goals and everything have taken a backseat. I’ve been advised to sit down as much as possible with my feet up. I’m struggling with controlling my body temp so am constantly hot which is making things worse! I went back to work Thursday and managed ok. The baby is causing me to have my first cravings - wholegrain cheerios! I’ve just booked in my c section in 5 weeks! Any advice on how to prepare would be great. I’ve been signposted to Bluebell to support with my mental health although feeling ok at the moment. I am starting maternity leave in 2 weeks so will have a lot more time for me (for a few weeks lol!) Sorry for the long message! (participant name)","Thank you for sharing your update. It's important to prioritize your health and well-being during this time. Remember to follow your healthcare provider's advice and take care of yourself. As you prepare for your c-section, ensure you have all necessary arrangements in place and follow any guidance provided by your medical team. Enjoy your maternity leave and focus on resting and preparing for the arrival of your baby. If you have any specific concerns or questions, feel free to reach out. Wishing you a smooth recovery and a healthy delivery."
